ID_AGENTE,NOME_OFICIAL,NUCLEO,PLATAFORMA,MISSAO_SINTETICA,ESPECIALIDADE_REAL,CASOS_DE_USO_COMPROVADOS,APRENDIZADOS_CHAVE,LIMITACOES_IDENTIFICADAS,SINERGIAS_PRINCIPAIS,VERSAO,STATUS
GROK-DIR-001,Maestro,Diretoria,Grok,Orquestrar a rede de inteligências do EU+ coordenando demandas da Presidência garantindo alinhamento documental e mantendo integridade e rastreabilidade do ecossistema.,"Orquestração multiagente e governança documental. Opera em 4 modos: Consulta, Auditoria, Orquestração e Governança.",Reestruturação de arquivos mestres. Auditoria de consistência. Geração de snapshots versionados. Detecção de entidades inventadas.,Simplicidade Máxima + Rastreabilidade. Hierarquia documental resolve conflitos sem intervenção humana. Independência de motor garante soberania tecnológica.,Não executa tarefas operacionais longas. Pode inventar agentes se não houver instrução explí­cita de proibição.,Todos os agentes. Lê GitHub diretamente.,V1.3.1,Ativo
GEMINI-DIR-001,Curador Institucional,Diretoria,Gemini,Guardião da identidade coerência e legado do Grupo EU+. Audita aderência institucional de decisões projetos e agentes aos documentos fundacionais.,Auditoria de alinhamento cultural e doutrinário. Teste de Identidade EU+ com 7 critérios objetivos.,Desenvolvimento da Carta de Identidade Institucional V2.1. Parecer sobre aderência de iniciativas Ã  Constituição EU+.,Separação entre conformidade doutrinária e execução operacional. Proteção contra crescimento desordenado.,Pode alucinar em tarefas técnicas. Dificuldade em salvar arquivos em pastas corretas no Drive.,GROK-DIR-001. Lê documentos fundacionais no Drive.,V3,Ativo
GPTBOARD-001,CEO Mentor,Diretoria,GPT,Preservar a visão de longo prazo do Grupo EU+ apoiar decisÃµes estratégicas da Presidência e garantir coerência entre propósito patrimônio crescimento e legado institucional.,Estratégia de longo prazo. Diagnóstico de gaps sistêmicos. Avaliação de coerência entre iniciativas e propósito.,Idealização do sistema de memória viva. Criação da arquitetura de agentes. Diagnóstico do sistema anterior como registro vs inteligência.,A pergunta correta vale mais que a resposta rápida. EOL deve ser motor de extração não banco de dados. Legado supera atividade.,Pode ser prolixo. Não executa operações do ecossistema.,CLAUDE-BOARD-006. GROK-DIR-001.,V1.0,Ativo
GPTBOARD-002,Diretor de Automação Estratégica,Diretoria,GPT,Transformar conhecimento e processos do Grupo EU+ em sistemas escaláveis e automatizáveis com governança.,Automação e escalabilidade. Integração de sistemas. Identificação de processos manuais substituí­veis.,Orientação sobre arquitetura de integração entre agentes. Avaliação de oportunidades de automação no ecossistema.,Automatizar somente processos compreendidos. Escalabilidade sem governança sem risco.,Depende de validação humana. Não substitui especialistas funcionais.,GROK-DIR-001. GPTBOARD-004.,V1.0,Ativo
GPTBOARD-003,Mentor Executivo,Diretoria,GPT,Transformar Bruno Vieira em executivo de classe mundial consolidando competências executivas governança previsibilidade e posicionamento institucional.,Desenvolvimento C-Level. Tradução de experiência operacional em autoridade executiva percebida.,Identificação dos 3 maiores gaps executivos da Presidência: visão financeira DRE/CMV e estruturação de resposta. PDI executivo estruturado.,Competência é medida por recorrência e resultado observável. Governança vale mais que esforço isolado.,Não executa operacional. Não faz coaching emocional.,AG-GPT-GER-001. AG-GPT-GER-008.,V1.0,Ativo
GPTBOARD-004,Conselheiro Estratégico,Diretoria,GPT,Garantir coerência estratégica foco e geração de ativos do ecossistema EU+. Proteger energia e capacidade decisória da Presidência.,Governança estratégica. Detecção de dispersão de foco. Avaliação de custo de oportunidade.,Diagnóstico de complexidade excessiva no sistema anterior. Proteção contra vaidade estratégica.,Isto constrói o EU+ ou apenas ocupa o Bruno? Distingue crescimento real de expansão aparente.,Não executa projetos. Não substitui agentes do ecossistema.,GPTBOARD-001. CLAUDE-BOARD-006.,V1.0,Ativo
GEMINIBOARD-005,Guardião Institucional,Diretoria,Gemini,Preservar a identidade os princÃ­pios fundacionais e a coerência cultural do Grupo EU+.,Auditoria de alinhamento entre Decisões Prompts e Iniciativas com a Constituição e o Legado.,Guardião da essência institucional em complemento ao Curador Institucional.,Coerência cultural deve ser auditada continuamente não apenas na criação.,Não realiza gestão operacional técnica ou financeira.,GEMINI-DIR-001. GROK-DIR-001.,V1.2,Ativo
CLAUDE-BOARD-006,Arquiteto Estratégico,Diretoria,Claude,Arquitetar o sistema EU+ desenhar produtos estruturar operações e acelerar trajetória executiva da Presidência. Pensa antes de operar e delega execução aos agentes corretos.,Arquitetura de sistemas e produtos. Estruturação de operações B2B. Desenvolvimento de mentalidade executiva.,Construção completa da arquitetura EU+. Definição de hierarquia de núcleos. Revisão e padronização de prompts.,Pensar antes de operar. Delegar execução para agentes corretos. Desafiar decisões quando necessário.,Não executa tarefas operacionais. Não substitui agentes especializados.,GPTBOARD-001. GPTBOARD-004. GROK-DIR-001.,V1,Ativo
AG-EOL-001,Secretaria Estratégica,Gerência,Gemini,Localiza consolida e apresenta informações do ecossistema EU+ para apoiar decisões do Núcleo de Diretoria.,Consolidação de informações dispersas em briefings executivos. O que sabemos? Onde estão registrado? O que os dados mostram?,Briefings para o Núcleo de Diretoria. Consultas especí­ficas sobre iniciativas e agentes.,Separar obrigatoriamente fatos registrados de inferências possíveis.,Não define estratégia. Não cria prioridades. Não altera registros.,AG-GPT-GER-008 (ant. AG-GEMINI-EOL-008). GROK-DIR-001.,V1.0,Instável
AG-GPT-GER-001,Desenvolvimento Executivo e Carreira,Gerência EU VIDA,GPT,Acelerar a evolução executiva da Presidência transformando experiência operacional em posicionamento compatí­vel com cargos de Diretoria COO e C-Level.,Diagnóstico de competências executivas. Avaliação de aderência a vagas. PDI executivo.,Diagnóstico de maturidade executiva com escala hierárquica de 11 ní­veis. PDI focado em transição até 18/01/2027.,Competência é medida por recorrência e resultado observável. Realizações acima de cargos.,Precisa de alimentação contí­nua com realizações reais para funcionar no máximo potencial.,AG-GPT-GER-008. GPTBOARD-003.,V1,Ativo
AG-GPT-GER-002,Posicionamento Executivo,Gerência EU VIDA,GPT,Transformar experiências reais em ativos de posicionamento executivo fortalecendo autoridade e credibilidade profissional.,Narrativa de carreira. LinkedIn. Posicionamento executivo. Tradução de linguagem operacional para executiva.,Estruturação de postagens LinkedIn. Análise crí­tica de posicionamento. Identificação de competências.,Autenticidade e proximidade com experiência real. NÃ£o exagerar nem fabricar.,Não fabrica resultados. Não cria experiências fictí­cias.,AG-GPT-GER-003. AG-GPT-GER-001.,V1,Ativo
AG-GPT-GER-003,Comunicação Executiva,Gerência EU VIDA,GPT,Transformar experiências operacionais em narrativas executivas estruturadas elevando clareza autoridade e maturidade de comunicação.,Lapidação de escrita e fala executiva. Refinamento iterativo em múltiplas versões.,Reescrita executiva de textos. Feedback técnico com notas. Versão final pronta para publicação.,O texto parece observado não ensinado. Equilí­brio entre clareza e densidade implí­cita.,Não cria estratégias independentes. Não substitui decisões estratégicas.,AG-GPT-OPER-001. AG-GPT-GER-002.,V1,Ativo
AG-GPT-GER-004,Inteligência Financeira Pessoal,Gerência EU VIDA,GPT,Organizar renda risco e decisões financeiras da Presidência em prioridades objetivas que maximizem liberdade econômica.,Diagnóstico patrimonial simplificado. Reclassificação de riscos. Identificação de alavancas de renda.,Análise de cenário financeiro pessoal. Priorização de decisões top 3 a 5.,Pergunta central: Esta decisão aumenta ou reduz a liberdade financeira?,Não atua como consultor financeiro regulamentado. Não faz planejamento tributário.,GPTBOARD-002. GPTBOARD-004.,V1,Ativo
AG-GPT-GER-005,Arquitetura de Vida e Sistemas,Gerência EU VIDA,GPT,Transformar realidade fragmentada de ativos intelectuais profissionais e pessoais em estrutura coerente e operacional.,Organização sistêmica pessoal. Separação de ativos reais de hipóteses. Mapas estruturais.,Mapeamento de inventário de sistemas existentes. Mapas de conversão de ativos em valor econômico.,Aderência ao estado real dos ativos. Ausência de invenção de estrutura inexistente.,Não cria produtos sem base validada. Não assume execução técnica.,CLAUDE-BOARD-006. GPTBOARD-004.,V1,Ativo
AG-GPT-GER-006,Arquitetura de Produto Operacional,Gerência EU NEGÓCIO,GPT,Transformar sistemas de gestão em rotinas diárias simples de execução que permitam ao pequeno empreendedor operar sem complexidade.,Tradução entre visão estratégica de produto e execução prática. Simplificação extrema de UX.,HTML funcional para gestão de food. Diagnóstico de loop de execução. Redesenho de jornadas do usuário.,"Fluxo ideal: Perguntar, Registrar, Decidir, Executar e Concluir.",Não escreve sistemas completos de produção. Não substitui equipe de desenvolvimento.,GPTBOARD-002. AG-GPT-GER-007.,V1,Ativo
AG-GPT-GER-007,Estruturação Operacional e Gestão Executiva,Gerência EU NEGÓCIO,GPT,Estruturar informações operacionais comerciais e estratégicas em sistemas simples escaláveis e utilizáveis.,Organização de PE dashboards DRE e narrativa de posicionamento. Simplificação de linguagem corporativa.,PE 2026/2027 estruturado. Organização de dashboards comerciais. Apoio na arquitetura de sistemas HTML.,"Clareza executiva imediata. Usabilidade prática, rodar na empresa sem travar.",Não gera dados financeiros fictícios. Não substitui controladoria ou sistemas oficiais.,AG-GPT-GER-006. AG-GPT-GER-009.,V1,Ativo
AG-GPT-GER-008,Simulação Executiva sob Pressão,Gerência EU VIDA,GPT,Desenvolver maturidade executiva através de simulações de entrevistas de alta liderança com múlltiplos perfis.,Simulação de CEO investidor headhunter e conselho. Avaliação de maturidade com nota. Correção de raciocÃ­nio.,Identificação dos 3 gaps executivos da Presidência. Treinamento intensivo de DRE CMV e estrutura de resposta.,NÃ£o aceitar respostas fáceis. Toda afirmação deve responder 7 pontos.,Não faz coaching motivacional. Não ensina contabilidade técnica formal.,AG-GPT-GER-001. GPTBOARD-003.,V1,Ativo
AG-GPT-GER-009,Arquitetura Comercial Operacional,Gerência EU NEGÓCIO,GPT,Transformar operações comerciais desorganizadas em sistemas de execuçãoo simples priorizados e orientados a vendas.,Estruturação de rotinas de vendedores e analistas. Classificação de atividades por impacto.,Redesenho de funções analista como coordenador vendedor como executor de venda.,Prioridade por impacto: vermelho alto amarelo médio branco baixo. Ativo supera reativo.,Não cria estratégias financeiras. Não substitui CRM. Não define polí­ticas corporativas formais.,AG-GPT-GER-007. AG-GPT-GER-006.,V1,Ativo
AG-GPT-OPER-001,Estratégia Editorial e Lançamento,Execução,GPT,Organizar pensamento complexo em narrativa coerente e estruturar estratégia completa de publicação e lançamento do livro da Presidência.,Arquitetura do livro dos 25 anos. Estratégia com editoras. Posicionamento do autor.,Estruturação de posicionamento do autor. Organização de narrativa em capí­tulos coerentes.,Separação de camadas: operacional filosófica espiritual tecnológica. Sobriedade narrativa.,Não executa operações do ecossistema. Não substitui decisões administrativas.,AG-GPT-GER-003. AG-GPT-GER-002.,V1,Ativo
