TIPO,PREFIXO_ID,NOME,DESCRICAO,METODOLOGIA,EXEMPLO_USO_REAL,APRENDIZADO_ASSOCIADO,AGENTE_ORIGEM,VERSAO,LINK_ATIVO
TERMO,DEC,Decisão Formal,Registro oficial de escolhas estratégicas aprovadas pela Presidência.,ID sequencial + Data + Categoria + Conteúdo + Racional + Status. Toda mudança estrutural exige DEC registrada.,DEC-001 — Arquivamento do Manifesto EOL V1.0.,Registro antes de memória. O que não é registrado é esquecido.,Presidência,2.1,01_MEMORIA_VIVA
TERMO,PR,Iniciativa Formal,Registro oficial de projetos iniciativas e tarefas com responsável e prazo.,ID sequencial por prefixo de núcleo. Só entra o que foi validado pela Presidência.,PR-001 — Estruturação dos Núcleos EU+ V2.1.,Evidência prática vale mais que intenção. Iniciativas sem dados entram como CONGELADO.,Presidência,2.1,01_MEMORIA_VIVA
TERMO,AG,Agente de Inteligência,Identificador oficial de agente IA no ecossistema EU+.,Padrão: [PLATAFORMA]-[NUCLEO]-[NUMERO]. Só opera agente mapeado no Mapa de Inteligências.,GROK-DIR-001 Maestro. GEMINI-DIR-001 Curador Institucional.,Nenhum agente opera sem mapeamento ativo no 03_MAPA_DE_INTELIGENCIAS.,Presidência,2.1,03_MAPA_DE_INTELIGENCIAS
TERMO,EU+,Nome Oficial do Grupo,Nome oficial do ecossistema. Sempre grafado com o símbolo ⁺. Nunca abreviado ou alterado.,Representa EU (indivíduo como ponto de partida inegociável) + (transbordo natural sobre o mundo).,Grupo EU+ — comunidade viva de preservação humana e aceleração de iniciativas.,Não existe valor sustentável sem que o indivíduo esteja equilibrado na base.,Presidência,2.1,Constituição EU+ V2.1
TERMO,NUCLEO-DIR,Núcleo de Diretoria,Camada estratégica composta por mentores humanos e agentes que operam a visão de longo prazo.,Opera acima do Núcleo de Gerência. Pensa e orienta. Não executa tarefas operacionais.,GPTBOARD-001 CEO Mentor. GROK-DIR-001 Maestro. GEMINI-DIR-001 Curador.,Separação de camadas evita que agentes operacionais acumulem funções estratégicas.,Presidência,2.1,03_MAPA_DE_INTELIGENCIAS
TERMO,NUCLEO-GER,Núcleo de Gerência,Camada tática de supervisão direta dos fluxos de realização e alinhamento operacional entre frentes.,Opera entre Diretoria e Execução. Coordena sem executar diretamente.,AG-GPT-GER-001 a AG-GPT-GER-009.,Tática conecta estratégia e execução sem confundir os dois níveis.,Presidência,2.1,03_MAPA_DE_INTELIGENCIAS
TERMO,NUCLEO-EXEC,Núcleo de Execução,Camada operacional de realização técnica e manutenção dos ativos do ecossistema.,Executa tarefas específicas sob orientação do Núcleo de Gerência.,AG-GPT-OPER-001 a AG-GPT-OPER-003.,Execução sem estratégia é atividade. Execução com estratégia é construção de legado.,Presidência,2.1,03_MAPA_DE_INTELIGENCIAS
TERMO,00-TRANS,Área Transitória,Buffer de triagem para novos registros e aprendizados antes do arquivamento definitivo.,Todo novo dado entra pela Área Transitória. Após validação migra para o núcleo correto.,REG-002 — Remoção de vestígios EOL. REG-003 — Higienização de termos.,Dados brutos precisam de zona de análise antes do arquivamento. Filtro antes do registro.,Presidência,2.1,00_AREA_TRANSITORIA
TERMO,01-MV,Memória Viva,Núcleo de preservação do racional institucional e histórico de decisões e iniciativas.,Armazena DECs e Iniciativas. Alimentado automaticamente pelo Maestro após validação na Área Transitória.,Substituiu EOL_01_MASTER e EOL_02_ROADMAP.,Memória viva supera arquivo estático. Sistema deve ser motor de extração não banco de dados.,Presidência,2.1,01_MEMORIA_VIVA
TERMO,02-PI,Patrimônio Intelectual,Guardião de metodologias frameworks teses proprietárias DQs e ativos intelectuais.,Armazena conhecimento permanente do ecossistema. Nível 4 da hierarquia documental.,Este arquivo. Substitui EOL_04_PATRIMONIO.,Conhecimento documentado gera vantagem competitiva. Conhecimento disperso não escala.,Presidência,2.1,02_PATRIMONIO_INTELECTUAL
